sample	circularity
322 plvx nt	0.807
322 plvx nt	0.776
322 plvx nt	0.913
322 plvx nt	0.841
322 plvx nt	0.825
322 plvx nt	0.528
322 plvx nt	0.744
322 plvx nt	0.668
322 plvx nt	0.686
322 plvx nt	0.34
322 plvx nt	0.145
322 plvx nt	0.675
322 plvx nt	0.66
322 plvx nt	0.309
322 plvx nt	0.469
322 plvx nt	0.608
322 plvx nt	0.691
322 plvx nt	0.592
322 plvx nt	0.555
322 plvx nt	0.28
322 plvx nt	0.36
322 plvx nt	0.6
322 plvx nt	0.447
322 plvx nt	0.678
322 plvx nt	0.643
322 plvx nt	0.867
322 plvx nt	0.323
322 plvx nt	0.666
322 plvx nt	0.723
322 plvx nt	0.893
322 plvx nt	0.562
322 plvx nt	0.328
322 plvx nt	0.766
322 plvx nt	0.358
322 plvx nt	0.737
322 plvx nt	0.196
322 plvx nt	0.329
322 plvx nt	0.647
322 plvx sn38	0.437
322 plvx sn38	0.448
322 plvx sn38	0.377
322 plvx sn38	0.314
322 plvx sn38	0.435
322 plvx sn38	0.942
322 plvx sn38	0.941
322 plvx sn38	0.859
322 plvx sn38	0.511
322 plvx sn38	0.47
322 plvx sn38	0.873
322 plvx sn38	0.845
322 plvx sn38	0.261
322 plvx sn38	0.346
322 plvx sn38	0.247
322 plvx sn38	0.506
322 plvx sn38	0.38
322 plvx sn38	0.429
322 plvx sn38	0.479
322 plvx sn38	0.344
322 plvx sn38	0.568
322 plvx sn38	0.679
322 plvx sn38	0.681
322 plvx sn38	0.586
322 plvx sn38	0.418
322 plvx sn38	0.446
322 plvx sn38	0.454
322 plvx sn38	0.409
322 plvx sn38	0.332
322 plvx sn38	0.469
322 plvx sn38	0.255
322 plvx sn38	0.368
322 plvx sn38	0.605
322 plvx sn38	0.306
322 plvx sn38	0.387
322 plvx sn38	0.349
322 plvx sn38	0.398
322 plvx sn38	0.262
322 plvx sn38	0.537
322 plvx sn38	0.27
322 plvx sn38	0.643
322 plvx sn38	0.528
322 plvx sn38	0.217
322 plvx sn38	0.796
322 plvx sn38	0.203
322 plvx sn38	0.184
322 plvx sn38	0.475
322 plvx sn38	0.614
322 prad51 nt	0.916
322 prad51 nt	0.861
322 prad51 nt	0.631
322 prad51 nt	0.506
322 prad51 nt	0.787
322 prad51 nt	0.922
322 prad51 nt	0.832
322 prad51 nt	0.444
322 prad51 nt	0.423
322 prad51 nt	0.469
322 prad51 nt	0.524
322 prad51 nt	0.912
322 prad51 nt	0.583
322 prad51 nt	0.906
322 prad51 nt	0.614
322 prad51 sn38	0.737
322 prad51 sn38	0.824
322 prad51 sn38	0.948
322 prad51 sn38	0.483
322 prad51 sn38	0.729
322 prad51 sn38	0.71
322 prad51 sn38	0.662
322 prad51 sn38	0.771
322 prad51 sn38	0.73
322 prad51 sn38	0.869
322 prad51 sn38	0.634
542 plvx nt	0.73
542 plvx nt	0.561
542 plvx nt	0.788
542 plvx nt	0.966
542 plvx nt	0.764
542 plvx nt	0.522
542 plvx nt	0.178
542 plvx nt	0.368
542 plvx nt	0.681
542 plvx nt	0.886
542 plvx nt	0.642
542 plvx sn38	0.362
542 plvx sn38	0.734
542 plvx sn38	0.561
542 plvx sn38	0.659
542 plvx sn38	0.603
542 plvx sn38	0.522
542 plvx sn38	0.39
542 plvx sn38	0.548
542 plvx sn38	0.899
542 plvx sn38	0.466
542 plvx sn38	0.384
542 prad51 nt	0.701
542 prad51 nt	0.945
542 prad51 nt	0.881
542 prad51 nt	0.569
542 prad51 nt	0.623
542 prad51 nt	0.416
542 prad51 nt	0.752
542 prad51 nt	0.596
542 prad51 nt	0.708
542 prad51 nt	0.479
542 prad51 nt	0.89
542 prad51 nt	0.98
542 prad51 nt	0.465
542 prad51 nt	0.941
542 prad51 nt	0.751
542 prad51 nt	0.758
542 prad51 sn38	0.778
542 prad51 sn38	0.955
542 prad51 sn38	0.865
542 prad51 sn38	0.872
542 prad51 sn38	0.832
542 prad51 sn38	0.613
542 prad51 sn38	0.762
542 prad51 sn38	0.861
542 prad51 sn38	0.743
542 prad51 sn38	0.679
542 prad51 sn38	0.778
542 prad51 sn38	0.877
542 prad51 sn38	0.779
542 prad51 sn38	0.57
542 prad51 sn38	0.819
542 prad51 sn38	0.841
542 prad51 sn38	0.904
