entrez	gene_symbol
472	ATM
545	ATR
1111	CHEK1
11200	CHEK2
11073	TOPBP1
672	BRCA1
675	BRCA2
83990	BRIP1
580	BARD1
5932	RBBP8
10111	RAD50
5888	RAD51
5893	RAD52
546	ATRX
4683	NBN
4361	MRE11
6117	RPA1
29086	BABAM1
9577	BABAM2
79184	BRCC3
84142	ABRAXAS1
51720	UIMC1
79728	PALB2
7979	SEM1
5424	POLD1
641	BLM
7156	TOP3A
80198	MUS81
146956	EME1
10714	POLD3
25788	RAD54B
29935	RPA4
50511	SYCP3
5425	POLD2
57804	POLD4
5889	RAD51C
5892	RAD51D
5890	RAD51B
6118	RPA2
6119	RPA3
6742	SSBP1
7516	XRCC2
7517	XRCC3
8940	TOP3B
