CASE	3WKS	6WKS
CRC0029	297.0992	403.055056
CRC2545	239.4705	
CRC0031	216.653	121.33236
CRC0150	208.1744	
CRC2026	199.7301	
CRC0204	189.7026	72.61412194
CRC0151	183.2108	92.79449317
CRC2604	175.7117	186.6209098
CRC2559	168.3981	2.887043087
CRC0252	166.1216	42.11923286
CRC0291	161.6438	-21.86945523
CRC0254	143.1314	
CRC0515	137.4002	90.07725032
CRC2546	136.3319	
CRC0119	129.6048	
CRC0231	127.304	
CRC1502	126.2785	-30.54927353
CRC2566	123.3779	57.73929753
CRC0772	115.2949	115.934384
CRC0058	110.7826	-2.991227985
CRC0188	102.5013	38.9415496
CRC0063	94.0572	-27.20991917
CRC2846	93.8172	
CRC0028	92.9239	
CRC0277	91.0322	
CRC0534	90.8358	100.3668484
CRC0370	90.5119	72.37695653
CRC0382	89.1034	232.6411783
CRC0484	88.7951	-27.60855708
CRC0079	81.7777	-43.85660815
CRC1139	80.1233	
CRC0257	78.8243	-41.63163216
CRC0065	70.4335	
CRC2831	66.7546	42.74656541
CRC0078	64.6505	57.1960018
CRC0479	63.567	92.58150339
CRC2933	63.549	
CRC2457	63.1053	
CRC0591	59.5451	
CRC0081	59.3074	-28.26183033
CRC3138	54.4639	9.914013132
CRC1078	52.6165	266.2258093
CRC0134	48.7756	69.81100065
CRC0312	47.7219	-5.772401921
CRC0077	47.3716	113.3378725
CRC2567	46.3991	-41.53350267
CRC0568	45.5672	64.81387741
CRC0051	44.9718	34.18481205
CRC0114	44.6424	23.06201605
CRC0137	42.6381	78.50846586
CRC2841	42.4618	-64.74449305
CRC2628	38.4361	
CRC0743	35.8523	-87.92229921
CRC0327	35.4484	-50.16694128
CRC3248	34.543	-20.15309889
CRC3033	32.1219	8.839890004
CRC0441	25.6085	
CRC3049	25.3143	
CRC2870	24.7062	-6.009176265
CRC0059	24.3464	-83.04259652
CRC0019	23.4309	60.18872678
CRC1390	23.0578	23.89387893
CRC0064	19.8032	-62.46031945
CRC1675	18.8293	68.88244837
CRC1921	18.8293	68.88244837
CRC0123	18.5611	57.156021
CRC0080	18.2587	
CRC1486	17.3839	-17.03682918
CRC2845	13.9923	-5.86723055
CRC1628	11.4419	257.2243564
CRC3007	8.074	-7.794945476
CRC2621	7.7839	-56.55692895
CRC0069	7.5531	-85.72438799
CRC0404	6.7428	-60.85570214
CRC2544	2.0811	-43.95874855
CRC0504	2.0528	6.456759918
CRC0060	0.6609	
CRC0106	0.1039	
CRC2247	-1.0268	-39.59406903
CRC2843	-1.1457	-16.62332756
CRC2898	-1.2596	
CRC2153	-3.6155	
CRC1472	-3.9164	
CRC1360	-7.7269	-38.28650016
CRC0124	-7.8073	
CRC0030	-9.3659	-25.92343027
CRC0166	-11.7088	-53.46896474
CRC2734	-11.8244	-24.35441483
CRC0355	-11.988	
CRC0542	-14.9692	-72.55180083
CRC0118	-16.7154	
CRC0344	-18.4079	-22.2334091
CRC1331	-24.4244	-64.06631037
CRC2113	-25.2232	-67.44780412
CRC0175	-27.6478	
CRC0103	-28.7063	-11.1323025
CRC0438	-30.527	
CRC1446	-32.1473	
CRC0161	-32.9759	-81.63817076
CRC0196	-34.022	-69.99952784
CRC0022	-34.0285	
CRC2786	-36.0669	-71.89628484
CRC3210	-36.5794	-21.50806232
CRC3051	-36.6984	-69.3996545
CRC3034	-38.6198	-89.28883486
CRC0322	-38.7285	-68.58136554
CRC0076	-38.8232	-68.94147819
CRC0330	-39.8904	-72.7829375
CRC0018	-40.101	-44.92850806
CRC1146	-40.4464	-79.86612872
CRC3050	-44.2754	-80.37898225
CRC0152	-50.2003	-82.21026909
CRC0729	-50.5558	-81.18612673
CRC1449	-51.2348	-29.78019728
CRC0104	-52.5272	-93.95065576
CRC3178	-52.6233	-83.02637266
CRC2829	-59.4329	-87.8305892
CRC0297	-61.8874	-79.36123306
CRC0121	-64.3935	-85.65250659
CRC2623	-66.0159	-75.62501994
CRC2863	-68.23	
CRC0096	-72.5287	-75.03380474
CRC2892	-72.54	
CRC0197	-73.3872	-96.39188694
CRC2595	-75.7981	-74.41230058
CRC0544	-88.6152	
CRC2270	-91.566	
